id,latitude,longitude
511,55.905153,-3.40623
512,55.903357,-3.406165
513,55.878207,-3.405256
514,55.876411,-3.405191
515,55.874614,-3.405126
516,55.872818,-3.405062
517,55.871022,-3.404997
518,55.863836,-3.404737
519,55.86204,-3.404672
520,55.860243,-3.404608
521,55.858447,-3.404543
522,55.85665,-3.404478
523,55.854854,-3.404413
524,55.853058,-3.404348
525,55.851261,-3.404283
526,55.849465,-3.404219
527,55.847668,-3.404154
528,55.845872,-3.404089
529,55.844076,-3.404024
530,55.842279,-3.40396
531,55.840483,-3.403895
532,55.838686,-3.40383
533,55.83689,-3.403765
534,55.835094,-3.403701
535,55.993213,-3.406221
536,55.991417,-3.406156
537,55.989621,-3.406091
538,55.987824,-3.406026
539,55.986028,-3.40596
540,55.984231,-3.405895
541,55.982435,-3.40583
542,55.980639,-3.405765
543,55.978842,-3.4057
544,55.977046,-3.405634
545,55.975249,-3.405569
546,55.973453,-3.405504
547,55.971656,-3.405439
548,55.96986,-3.405374
549,55.968064,-3.405308
550,55.966267,-3.405243
551,55.964471,-3.405178
552,55.962674,-3.405113
553,55.960878,-3.405048
554,55.959082,-3.404983
555,55.957285,-3.404918
556,55.955489,-3.404853
557,55.953692,-3.404787
558,55.951896,-3.404722
559,55.9501,-3.404657
560,55.948303,-3.404592
561,55.946507,-3.404527
562,55.944711,-3.404462
563,55.942914,-3.404397
564,55.941118,-3.404332
565,55.939321,-3.404267
566,55.937525,-3.404202
567,55.935729,-3.404137
568,55.933932,-3.404072
569,55.932136,-3.404007
570,55.930339,-3.403942
571,55.928543,-3.403877
572,55.926747,-3.403812
573,55.92495,-3.403747
574,55.923154,-3.403682
575,55.921357,-3.403617
576,55.919561,-3.403552
577,55.917765,-3.403487
578,55.915968,-3.403422
579,55.914172,-3.403357
580,55.912375,-3.403292
581,55.910579,-3.403227
582,55.908783,-3.403162
583,55.906986,-3.403097
584,55.90519,-3.403033
585,55.903393,-3.402968
586,55.887226,-3.402385
587,55.885429,-3.40232
588,55.88004,-3.402125
589,55.878244,-3.402061
590,55.876447,-3.401996
591,55.874651,-3.401931
